text,label
പലദേശം. പല ഭാഷ ഒരേ ഒരു രാജാവ്  അല്ലാതെ  സ്വന്തം രാജവയത് അല്ല,Not_offensive
ഈ ഓണം ഏട്ടനും പിള്ളേർക്ക് ഉള്ളതാണ് എന്ന് ഉള്ളവർ ലൈക്‌ അടി,Not_offensive
ആരണ്ട ആരണ്ട തലുണ്ടാകാണാ ആരണ്ട ഞാൻ ആണ്ട ഞാൻ ആണ്ട ഞാൻ Royal Mech ആടാ  ആരണ്ട ആരണ്ട മീശ പിരിക്കുന്ന ആരണ്ട ഞാൻ ആണ്ട ഞാൻ ആണ്ട ഞാൻ royal Mech ആടാ,Not_offensive
Sushin syam  Shaiju khalid  Midhun manual,Not_offensive
J A K E S.   B EJ O Y !!!,Not_offensive
Pwoli item padam kananda ennu karuthiyatha pakshe ini kaanum,Not_offensive
Oru ratchasan feel kittitu ullalo. Bgm athra adipoliyano,Not_offensive
Super casting,Not_offensive
ഷൈലോക്ക് ന്റെ നല്ല ടീസർ ആയിട്ട് പോലും ട്രോളി നടന്ന ലാലേട്ടൻ ഫാൻസിന് കിട്ടിയൊരു നല്ലൊരു തിരിച്ചടി തന്നെ ആയിരിന്നു ബിഗ് ബ്രദർ ന്റെ ട്രെയ്‌ലർ,Not_offensive
ന്റമ്മോ ഇജ്ജാതി trailor.. Uffftrailor ethegilum.. Padam. Pwoliyo pwoli,Not_offensive
ഇത് ബോംബ് ആകും എന്ന് തോന്നുന്നവർ Like അടിക്ക്....,Not_offensive
Ee asurante varavin katta waiting........MAMMOOKKA.. uyir,Not_offensive
Rajuvettan chunkalla chunkidipaan adi makalle like Neela adi chunk കളെ,Not_offensive
Ettan kurch koode perfect akum enn vicharikunu by H,Not_offensive
മാമാങ്കത്തിൽ മമ്മൂക്കയെ കണ്ടു . ഇതിപ്പോ ആരാ .,Not_offensive
Vada..  ithu kettu romancham vannavarku likenulla coment,Not_offensive
Haneef adeni pwolikkum  Maass trailer  Mommookkayude Face kanum yenn pradeekshichu  Sambavam marana maass aann,Not_offensive
padam vere leval kandu  ada oru figth,Not_offensive
ഓണത്തിനു ജെട്ടിമാണി നൽകിയ ക്ഷീണം ക്രിസ്മസിനു ഇതു മാറ്റുമെന്ന് പ്രതീക്ഷിക്കുന്നു ',Not_offensive
ആ ജോഷി തന്നെയാണോ??? joshiy എന്നു കണ്ടതുകൊണ്ടു ചോതിച്ചതാണ്???ആരാണെങ്കിലും trailer അടിപൊളി!,Not_offensive
തെറ്റ് കൾ തിരുത്തിയാൽ നന്നായിരിക്കും. അല്ലങ്കിൽ തിരുത്താൻ പറ്റാത്ത തെറ്റായിരിക്കും.,Not_offensive
Ikka polikumen urappullavar like and comment please,Not_offensive
December 12 inn katta waitingullar like poad,Not_offensive
Jobi jorge padam ano. Potti mone,Offensive_target_insult_individual
